City, Nominatim_Lat, Nominatim_Lon, Nominatim_ping_ms, Google_Lat, Google_Lon, Google_ping_ms, MapQuest_Lat, MapQuest_Lon, MapQuest_ping_ms, Here_Lat, Here_Lon, Here_ping_ms, OpenCage_Lat, OpenCage_Lon, OpenCage_ping_ms
Novi Sad, 45.2551053, 19.845081, 600, 45.25, 19.85, 582, 45.255105, 19.845081, 769, 45.2569, 19.8416, 662, 45.2551053, 19.845081, 21
Upper Xingu, NA, NA, 509, 45.26311, -93.0702982, 586, NA, NA, 458, 35.5126305, 115.0430527, 393, NA, NA, 189
Nimrud, 55.9106517, 36.8652318, 588, 38.65, 42.23, 732, NA, NA, 610, NA, NA, 298, 55.9106517, 36.8652318, 782
Skopje, 41.9962268, 21.4317955, 688, 41.9973462, 21.4279956, 834, 41.996227, 21.431796, 520, 41.99474, 21.42999, 363, 41.9962268, 21.4317955, 933
York, 53.9590555, -1.0815361, 635, 53.9599651, -1.0872979, 871, 53.959056, -1.081536, 749, 53.95333, -1.08343, 383, 53.9590555, -1.0815361, 123
Ahmedabad, 23.0216238, 72.5797068, 676, 23.022505, 72.5713621, 543, 23.021624, 72.579707, 57, 23.0193, 72.58174, 691, 23.0216238, 72.5797068, 92
Chicheng, 40.866667, 115.833333, 479, 40.912921, 115.831499, 124, 30.762308, 105.696082, 620, 25.00689, 118.85714, 438, 40.866667, 115.833333, 880
Fustat, 30.0085394656305, 31.2316429738857, 545, 30, 31.233333, 538, 31.218644, 29.937693, 647, NA, NA, 350, 31.2186442, 29.9376933, 390
Chan Chan, -8.1063168, -79.0735916029033, 876, -8.1059994, -79.0745366, 976, -9.058534, -78.583229, 846, 42.471859, -8.4812803, 389, -8.1049574, -79.0730914573, 81
Çatalhöyük, 37.666630706506, 32.8282079980733, 515, 39.778294, 30.472764, 37, NA, NA, 558, 37.19703, 35.81704, 284, 37.66625345, 32.8281414646, 802
Dublin, 53.3494299, -6.2600969, 606, 53.3498053, -6.2603097, 792, 53.34943, -6.260097, 278, 53.34807, -6.24827, 344, 53.3494299, -6.2600969, 184
Gwalior, 26.2, 78.2, 631, 26.2182871, 78.1828308, 867, 26.034145, 78.149012, 589, 26.22011, 78.1762, 667, 26.2, 78.2, 965
Linzi, 51.5428173532844, -0.00569124051400065, 539, 36.826981, 118.309118, 968, NA, NA, 765, 34.31084, 113.21661, 368, 51.5428308, -0.00567414092645, 812
Baracoa, 20.3465027, -74.4965523, 646, 20.348611, -74.510556, 462, 20.346503, -74.496552, 705, 20.34306, -74.49247, 43, 20.3465027, -74.4965523, 10
Bad-tibira, NA, NA, 451, NA, NA, 751, NA, NA, 450, NA, NA, 412, NA, NA, 852
Nippur, 45.7955111, 24.151209, 629, NA, NA, 953, NA, NA, 749, 30.4649906, 76.5761032, 792, 45.7955111, 24.151209, 868
Warangal, 17.95910755, 79.5864956025739, 546, 17.9689008, 79.5940544, 446, 17.959108, 79.586496, 907, 17.97553, 79.60115, 510, 17.95754655, 79.5858923236, 881
Vinča-Belo Brdo, NA, NA, 586, NA, NA, 841, NA, NA, 791, 44.7609482, 20.6222095, 479, NA, NA, 93
Sunpu, 15.25691, -9.62348, 556, 31.1860129, 121.65802, 259, NA, NA, 948, 33.16656, 116.28638, 56, 15.25691, -9.62348, 914
Thebes, 37.2208838, -89.4609209, 578, 38.2563685, 23.0488541, 726, 37.220884, -89.460921, 527, 37.22104, -89.4609, 338, 37.2208838, -89.4609209, 386
Anshan, 40.7827834, 122.789568393366, 580, 41.108647, 122.994329, 481, 40.782783, 122.789568, 228, 41.10772, 122.99471, 398, 40.78195365, 122.789233036, 378
Ebla, 35.7990978, 36.7984037933711, 489, 33.10995, -83.231214, 478, NA, NA, 520, NA, NA, 269, 35.7988854, 36.7984132743, 797
Canberra, -35.2820709, 149.1286673, 348, -35.2819998, 149.1286843, 133, -35.282071, 149.128667, 626, -35.30655, 149.12656, 606, -35.2820709, 149.1286673, 972
Jamestown Virginia, 37.2082034, -76.7741258, 794, 37.2082034, -76.7741257, 653, 37.208203, -76.774126, 836, 37.20744, -76.76324, 362, 37.2082034, -76.7741258, 964
Brisbane, -27.4689682, 153.0234991, 658, -27.4710107, 153.0234489, 789, -27.468968, 153.023499, 708, -27.46846, 153.02342, 49, -27.4689682, 153.0234991, 290
Osaka, 34.6852929, 135.5146944, 146, 34.6937378, 135.5021651, 588, 34.685293, 135.514694, 885, 35.9237, 137.2446, 711, 34.6852929, 135.5146944, 692
Vijayanagar, 29.2436472, 73.5222553, 679, 18.0781291, 77.553344, 678, 29.243647, 73.522255, 707, 24.00689, 73.35985, 327, 29.2436472, 73.5222553, 537
Ujjain, 23.2978644, 75.6256225570833, 478, 23.1793013, 75.7849097, 799, 23.297864, 75.625623, 549, 23.18014, 75.78657, 367, 23.29719535, 75.6266879263, 960
Manchester, 53.4791466, -2.2447445, 584, 53.479324, -2.2484851, 481, 53.479147, -2.244744, 60, 53.4796, -2.24874, 309, 53.4791466, -2.2447445, 182
Akkad, 16.9913885, 54.0496068, 288, 19.64328, 30.38331, 584, 16.991388, 54.049607, 886, 19.66435, 30.36685, 363, 16.9913885, 54.0496068, 928
Sialkot, 32.4931321, 74.542883, 89, 32.4924769, 74.5310403, 45, 32.493132, 74.542883, 520, 32.51923, 74.55406, 178, 32.4931321, 74.542883, 932
Calah, 36.0993462, 43.3280474, 686, 27.0455505, -82.2112859, 558, 36.099346, 43.328047, 561, NA, NA, 375, 36.0993462, 43.3280474, 241
Vitebsk, 55.1930088, 30.2059467, 516, 55.183333, 30.166667, 494, 55.193009, 30.205947, 534, 55.19528, 30.14744, 306, 55.1930197, 30.2070437, 772
Shangjing, 38.1243953, 114.4154094, 728, 39.030368, 117.267586, 527, 38.124395, 114.415409, 509, 19.11585, 110.43361, 327, 38.1243953, 114.4154094, 837
Byblos, 52.5557676, 13.3429864, 850, 34.1230022, 35.6519282, 502, 47.750256, -3.362463, 391, 44.7459183, -63.8314514, 776, 48.1714277, 17.1423337, 358
Rey, 35.6016394, 51.4418697, 819, 43.1925088, -0.4749601, 501, 35.601639, 51.44187, 80, 44.8863983, -0.05728, 386, 35.6016394, 51.4418697, 394
Pataliputra, NA, NA, 506, 25.611, 85.144, 488, NA, NA, 446, 25.62658, 85.10442, 285, NA, NA, 885
Datong, 25.065986, 121.515514, 559, 40.076763, 113.300129, 537, 40.089393, 113.280167, 704, 40.07639, 113.29904, 429, 40.0893933, 113.2801671, 42
Winchester, 39.1856588, -78.1633342, 619, 51.059771, -1.310142, 39, 39.185659, -78.163334, 964, 51.06303, -1.31677, 384, 39.1857762, -78.1631434, 402
Texcoco, 19.5113906, -98.884033, 186, 19.5060382, -98.8831503, 447, 19.511391, -98.884033, 709, 19.51434, -98.87909, 710, 19.5113906, -98.884033, 983
Belgrade, 44.8178787, 20.4568089, 998, 44.816667, 20.466667, 819, 44.817879, 20.456809, 600, 44.8131, 20.46326, 278, 45.7732787, -111.1845352, 327
Durrës, 41.3175765, 19.4691122, 827, 41.316667, 19.45, 634, 41.317576, 19.469112, 566, 41.31828, 19.45329, 335, 41.42350305, 19.536709124, 526
Roses, 42.2632018, 3.1755328, 106, 42.2631774, 3.1781873, 977, 42.263202, 3.175533, 786, 42.2662, 3.16636, 298, 42.2632018, 3.1755328, 383
'Ain Ghazal, 34.3472222, 35.7561111, 588, 34.3644444, 35.9030556, 750, NA, NA, 721, 36.22401, 41.99555, 360, 34.3472222, 35.7561111, 775
Bagan, 21.1708105, 94.8595191, 527, 21.172222, 94.860278, 782, 21.17081, 94.859519, 619, 34.07512, 73.37787, 564, 21.1708105, 94.8595191, 838
Sydney, -33.8548157, 151.2164539, 906, -33.8674869, 151.2069902, 965, -33.854816, 151.216454, 999, -33.8696, 151.20696, 72, -33.8548157, 151.2164539, 893
Amman, 31.6554651, 36.3242451899544, 839, 31.9565783, 35.9456951, 840, 31.655465, 36.324245, 757, 31.95181, 35.94042, 313, 31.6586023, 36.3218537789, 172
Kaveri, 11.0969577, 79.6259194, 798, 11.7251765, 77.7154627, 503, NA, NA, 168, 13.7491, 75.35148, 327, 11.0969577, 79.6259194, 412
Babylon, 49.3986492, 12.8627841, 854, 40.6956552, -73.3256753, 836, 49.398649, 12.862784, 296, 40.69574, -73.32601, 369, 49.3986492, 12.8627841, 587
Angkor, 47.3902731, 8.5171449, 575, 11.5711616, 104.9286872, 872, 48.603867, 7.751119, 609, 11.4976797, 105.4410477, 677, 47.3902731, 8.5171449, 874
Wanxian, 30.7049525, 108.427213780065, 490, 24.2645792, 120.7910177, 517, 30.704952, 108.427214, 569, 35.2993507, 112.6883392, 320, 30.705246, 108.427342112, 16
Chunar, 25.1276706, 82.88556, 558, 25.1034097, 82.8667544, 548, 25.127671, 82.88556, 498, 25.102, 82.86362, 493, 25.1276706, 82.88556, 861
New York City, 40.7305991, -73.9865812, 534, 40.7127837, -74.0059413, 853, 40.730599, -73.986581, 766, 40.71455, -74.00712, 850, 40.7305991, -73.9865812, 455
San Diego, 32.7469869, -117.21177, 600, 32.715738, -117.1610838, 838, 32.746987, -117.21177, 576, 32.71569, -117.16172, 343, 32.7469869, -117.21177, 42
Sravasti, 27.5083429, 82.0263569, 577, 27.5035427, 82.036461, 943, 27.508343, 82.026357, 570, NA, NA, 522, 27.5083429, 82.0263569, 783
Kutaisi, 42.25903265, 42.6672662823031, 678, 42.25, 42.7, 492, 42.259033, 42.667266, 778, 42.25775, 42.66946, 318, 42.25899995, 42.6672693381, 23
Berlin, 52.5170365, 13.3888599, 718, 52.5200066, 13.404954, 517, 52.517036, 13.38886, 591, 52.51607, 13.37699, 366, 52.5170365, 13.3888599, 162
Trier, 49.7557338, 6.6402058, 587, 49.749992, 6.6371433, 483, 49.755734, 6.640206, 861, 49.75734, 6.63621, 314, 49.7557338, 6.6402058, 623
Luoyang, 34.6556873, 112.4209629, 585, 34.619683, 112.45404, 412, 34.655687, 112.420963, 667, 34.61792, 112.45362, 354, 34.6556873, 112.4209629, 571
Tabriz, 38.0773948, 46.2891614, 639, 38.066667, 46.3, 437, 38.077395, 46.289161, 609, 38.07972, 46.30015, 295, 38.0773948, 46.2891614, 923
Constanţa, 44.172859, 28.6208506831418, 586, 44.173333, 28.638333, 519, 44.172859, 28.620851, 581, 18.9069805, -70.7418213, 299, 44.173005, 28.6213915923, 928
Solothurn, 47.2081355, 7.5384045, 556, 47.2086574, 7.5379549, 874, 47.208136, 7.538404, 569, 47.21054, 7.53693, 734, 47.2081355, 7.5384045, 3
Tenochtitlan, 17.51970575, -94.3025908402771, 656, 19.8078194, -96.9159526, 696, 16.456261, -93.36132, 805, 19.81049, -96.91554, 326, 17.52071825, -94.3025903468, 42
Jinzhou, 41.108528, 121.1194219, 539, 39.05046, 121.782769, 868, 41.108528, 121.119422, 609, 41.09495, 121.12703, 435, 41.108528, 121.1194219, 850
Butuan, 8.9518371, 125.5305668, 767, 8.9475377, 125.5406234, 483, 8.951837, 125.530567, 656, 8.94757, 125.54099, 434, 8.9518371, 125.5305668, 852
Kraków, 50.061892, 19.9368564, 596, 50.0646501, 19.9449799, 803, 50.061892, 19.936856, 841, 50.06045, 19.93243, 332, 50.0619474, 19.9368564, 953
Serres, 42.9466381, 2.3236952, 139, 41.090923, 23.5413198, 479, 42.946638, 2.323695, 759, 41.08948, 23.54598, 348, 42.9466381, 2.3236952, 204
Tarragona, 41.113686, 1.2527386, 686, 41.1188827, 1.2444909, 615, 41.113686, 1.252739, 668, 41.11693, 1.25411, 323, 41.1172364, 1.2546057, 525
Kano, 11.9918671, 8.5303654, 760, 12, 8.516667, 853, 11.991867, 8.530365, 920, 11.9555, 8.49754, 296, 11.9918671, 8.5303654, 145
Tidore, 3.6029535, 125.5045078, 559, 0.5060207, 127.681228, 950, 3.602954, 125.504508, 808, 0.66115, 127.44755, 357, 3.6029535, 125.5045078, 973
Metz, 49.1196964, 6.1763552, 76, 49.1193089, 6.1757156, 554, 49.119696, 6.176355, 998, 49.1147, 6.17145, 382, NA, NA, 213
Suheri, -7.6263056, 110.436732809722, 715, -6.1798109, 106.8134674, 837, NA, NA, 755, 29.7872696, 77.2437286, 546, -7.6263309, 110.436730383, 257
Vukovar, 45.3485047, 18.9967149, 525, 45.3452377, 19.0010204, 567, 45.348505, 18.996715, 719, 45.35239, 19.0001, 365, 45.3485047, 18.9967149, 252
Worms, 49.66139735, 8.32128880741306, 666, 49.6341372, 8.3507182, 747, 49.661397, 8.321289, 167, 49.6305, 8.36198, 483, 49.6615131, 8.32120408589, 203
Kirkuk, 35.4701099, 44.3964846, 628, 35.466667, 44.316667, 440, 35.47011, 44.396485, 677, 35.46862, 44.38929, 277, 35.4701099, 44.3964846, 153
Thanjavur, 10.5446805, 79.2755128092077, 476, 10.7869994, 79.1378274, 623, 10.54468, 79.275513, 648, 10.76862, 79.12905, 358, 10.5441676, 79.2753878709, 176
Badami, 15.9186389, 75.6821169, 527, 15.92, 75.680278, 547, 15.918639, 75.682117, 557, 15.92134, 75.67991, 455, 15.9186389, 75.6821169, 816
Chania, 35.5141834, 24.0181459, 976, 35.5138298, 24.0180367, 490, 35.514183, 24.018146, 617, 35.51197, 24.01224, 358, 35.5141834, 24.0181459, 21
Aberdeen, 57.1452452, -2.0913745, 636, 57.149717, -2.094278, 513, 57.145245, -2.091374, 115, 57.14548, -2.10272, 377, 57.1452452, -2.0913745, 56
Heliopolis, -10.682539, -38.290664, 770, 36.5, 7.45, 853, -10.682539, -38.290664, 709, 36.53563, 7.41618, 301, -10.6803176, -38.2850475, 462
Lagash, 31.55, 46.183333, 846, NA, NA, 812, 31.55, 46.183333, 779, 43.7765694, 2.8318701, 499, 31.55, 46.183333, 819
Varanasi, 25.37605465, 82.9376423490463, 579, 25.3176452, 82.9739144, 505, 25.376055, 82.937642, 667, 25.33278, 82.9965, 423, 25.38029175, 82.9388210881, 541
Anuradhapura, 8.3354139, 80.4080552, 548, 8.3451852, 80.3881333, 554, 8.335414, 80.408055, 549, 8.33003, 80.4084, 329, 8.3354139, 80.4080552, 918
Xi'an, 34.21932965, 109.110369488166, 526, 34.341568, 108.940175, 511, 34.21933, 109.110369, 925, 34.34102, 108.93985, 673, 34.2191582, 109.110194631, 113
Tbilisi, 41.6934547, 44.8014986, 59, 41.716667, 44.783333, 457, 41.693455, 44.801499, 877, 41.69792, 44.79859, 776, 41.6934547, 44.8014986, 442
Hanoi, 21.0292095, 105.85247, 66, 21.033333, 105.85, 580, 21.02921, 105.85247, 147, 21.0289, 105.85465, 228, 21.0292095, 105.85247, 362
Balkh, 36.7581256, 66.8980826, 555, 36.7550603, 66.8975372, 270, 36.758126, 66.898083, 629, 36.75253, 66.89216, 288, 36.7581256, 66.8980826, 525
Aleppo, 36.197971, 37.1656697, 766, 36.2116828, 37.1472998, 177, 36.197971, 37.16567, 880, 39.82222, -80.44338, 334, 36.197971, 37.1656697, 340
Sais, 30.9537097, 77.8508089, 730, 38.9082154, -77.0401946, 811, 30.95371, 77.850809, 748, NA, NA, 306, 30.9537097, 77.8508089, 168
Manila, 14.5906216, 120.9799696, 723, 14.5995124, 120.9842195, 133, 14.590622, 120.97997, 658, 14.58865, 120.98453, 523, 14.5906216, 120.9799696, 66
Lahore, 31.5621916, 74.3228517, 920, 31.5546061, 74.3571581, 828, 31.562192, 74.322852, 477, 31.53944, 74.30348, 284, 31.5621916, 74.3228517, 15
Ecbatana, NA, NA, 554, 34.8, 48.516667, 57, NA, NA, 428, 34.78958, 48.51262, 276, NA, NA, 605
Cuicuilco, 19.3014189550871, -99.1817017242732, 780, 19.3016328, -99.1816036, 833, 19.376383, -99.151351, 799, 31.6892605, -106.4813004, 339, 19.30116225, -99.1816954898, 378
Hazor, 31.9928606, 34.946855, 549, 32.9102235, 35.2959546, 733, 31.992861, 34.946855, 550, 31.77236, 34.72189, 338, 31.9928606, 34.946855, 916
Inverness, 57.4790124, -4.225739, 660, 57.477773, -4.224721, 316, 57.479012, -4.225739, 848, 57.47902, -4.23561, 386, 57.4790124, -4.225739, 796
Mohenjo-daro, 27.3268899, 68.1371029, 526, 27.3242933, 68.135689, 577, 27.32513, 68.135878, 946, NA, NA, 362, 27.3268899, 68.1371029, 753
Dali, 25.68413725, 99.9079907654961, 709, 25.606486, 100.267638, 911, 25.684137, 99.907991, 17, 35.0217, 33.41971, 478, 25.6849626, 99.9074596322, 239
Larnaca, 34.9172012, 33.6378531, 496, 34.916667, 33.633333, 491, 34.917201, 33.637853, 558, 34.91607, 33.61986, 724, 34.9172012, 33.6378531, 509
Berbera, 10.4979712, 45.136344044767, 646, 10.439222, 45.010083, 477, 10.497971, 45.136344, 560, 10.43202, 45.0081, 307, 10.54283045, 45.1498556562, 874
Xianyang, 34.3353304, 108.7139441, 787, 34.329605, 108.708991, 915, 34.33533, 108.713944, 715, 34.32912, 108.70931, 563, 34.3353304, 108.7139441, 142
Jenin, 32.4586042, 35.2984597, 657, 32.462068, 35.302535, 107, 32.458604, 35.29846, 671, 34.62475, 36.15367, 337, 32.4586042, 35.2984597, 866
Mozah, 31.79279, 35.168506, 516, NA, NA, 564, 31.79279, 35.168506, 784, 45.8937912, 3.0931799, 293, 31.79279, 35.168506, 796
Trondheim, 63.4305658, 10.3951929, 579, 63.4305149, 10.3950528, 780, 63.430566, 10.395193, 575, 63.43101, 10.39211, 401, 63.4305658, 10.3951929, 903
Santiago del Estero, -27.6431016, -63.5408542, 829, -27.78442, -64.2672806, 506, -27.643102, -63.540854, 747, -27.80532, -64.26122, 706, -27.6431016, -63.5408542, 163
Bamyan, 34.710329, 67.3916533384595, 497, 34.9073296, 67.1894488, 522, 34.710329, 67.391653, 726, 34.81951, 67.82779, 196, 34.75, 67.25, 523
Skara, 58.378683, 13.4553333249661, 714, 58.3860128, 13.4393282, 461, 58.378683, 13.455333, 681, 58.38466, 13.43899, 448, 58.3786721, 13.4553217018, 114
Pingcheng, 40.0893933, 113.2801671, 555, 24.5811933, 115.9052645, 22, 40.089393, 113.280167, 306, 23.22815, 111.08977, 319, 40.0893933, 113.2801671, 983
Crotone, 39.0806223, 17.127196, 586, 39.0807932, 17.1271102, 871, 39.080622, 17.127196, 599, 39.08125, 17.12292, 294, 39.0806223, 17.127196, 19
Trikala, 39.6282934, 21.6476240930237, 155, 39.5557317, 21.7678951, 550, 39.628293, 21.647624, 651, 39.55517, 21.77062, 432, 39.6282036, 21.6476501937, 445
Chalcis, 38.4627483, 23.5952169, 849, 38.4109234, 23.5490415, 443, 38.462748, 23.595217, 537, NA, NA, 293, 35.9833333, 37.0166667, 27
Athens, 33.9595974, -83.376678, 876, 37.983917, 23.7293599, 579, 33.959597, -83.376678, 719, 37.97615, 23.73642, 339, 33.9595974, -83.376678, 117
Santa Fe New Mexico, 35.6869996, -105.9377997, 698, 35.6869752, -105.937799, 518, 35.687, -105.9378, 220, 35.69168, -105.93796, 372, 35.6869996, -105.9377997, 606
Ternate, 14.26839745, 120.670160012053, 546, 0.7957999, 127.3613533, 696, 14.268397, 120.67016, 745, 14.28558, 120.71832, 309, 14.26838065, 120.670150198, 714
Jiankang, 24.7469915, 121.751633, 626, 32.003369, 118.731688, 493, 30.270187, 120.172046, 19, 30.50981, 113.11195, 309, 30.2701874, 120.1720463, 436
Montreal, 45.5224507, -73.5912827, 588, 45.5086699, -73.5539925, 5, 45.522451, -73.591283, 689, 45.51241, -73.55469, 328, 45.5224507, -73.5912827, 121
Yerevan, 40.1776121, 44.5125849, 538, 40.183333, 44.516667, 862, 40.177612, 44.512585, 640, 40.20745, 44.55605, 458, 40.1776121, 44.5125849, 884
Lhasa, 29.6568869, 91.1314249, 613, 29.645554, 91.140856, 857, 29.656887, 91.131425, 604, 29.64397, 91.11454, 872, 29.6568869, 91.1314249, 122
Chios, 45.2943316, 7.2167816, 624, 38.3709813, 26.1363457, 489, 38.37162, 26.134205, 775, 38.368, 26.1385, 426, 38.37612035, 26.064840919, 48
Habuba Kabira, NA, NA, 587, NA, NA, 598, NA, NA, 425, NA, NA, 904, NA, NA, 766
El Tajín, 20.429167, -97.380833, 648, 20.4505739, -97.3752949, 838, 20.429167, -97.380833, 958, 25.5612106, -100.9521179, 297, 20.429167, -97.380833, 240
Larsa, 31.2810124, 45.8640216, 485, 31.2816667, 45.8647222, 598, NA, NA, 535, 25.21325, 84.98521, 338, 31.2810124, 45.8640216, 365
Edessa Greece, 40.8045116, 22.0499596, 619, 40.8016803, 22.0439798, 980, 40.804512, 22.04996, 585, 40.80064, 22.04983, 298, 40.8045116, 22.0499596, 210
Saint Petersburg, 59.9393657, 30.3153628, 797, 59.9342802, 30.3350986, 485, 59.939366, 30.315363, 718, 59.93319, 30.30603, 344, 59.9393657, 30.3153628, 972
Merv, 37.6046954, 61.8462896, 496, 37.6, 61.833333, 648, 37.604695, 61.84629, 629, 40.9878883, 28.9012203, 413, 37.6046954, 61.8462896, 71
Bath, 51.3813864, -2.3596963, 516, 51.375801, -2.3599039, 42, 51.381386, -2.359696, 726, 51.38503, -2.36132, 383, 51.3813864, -2.3596963, 831
Bursa, 40.1827061, 29.0667635, 989, 40.182846, 29.067084, 726, 40.182706, 29.066764, 590, 40.18435, 29.05869, 313, 40.1827061, 29.0667635, 249
Messina, 38.1937571, 15.5542082, 307, 38.1938137, 15.5540152, 643, 38.193757, 15.554208, 818, 38.17834, 15.55309, 809, 38.1937571, 15.5542082, 213
Acoma Puebloand Taos Pueblo New Mexico, NA, NA, 557, 36.3968, -105.5800127, 538, NA, NA, 470, 34.8956108, -107.5832672, 414, 19.395851, -99.124011, 269
Lund, 55.7029296, 13.1929449, 710, 55.7046601, 13.1910073, 757, 55.70293, 13.192945, 518, 38.85562, -115.00784, 467, 55.7029296, 13.1929449, 233
Nablus, 32.2204986, 35.2568883, 640, 32.22504, 35.260971, 487, 32.220499, 35.256888, 700, 32.22112, 35.26032, 538, 32.2204986, 35.2568883, 924
Kingchow, NA, NA, 435, 47.5464356, -122.3150332, 530, NA, NA, 477, NA, NA, 333, NA, NA, 80
Shuruppak, NA, NA, 717, NA, NA, 975, NA, NA, 445, NA, NA, 428, NA, NA, 943
Venice, 45.4384143, 12.318564, 707, 45.4408474, 12.3155151, 833, 45.438414, 12.318564, 741, 45.43812, 12.31817, 318, 45.4371908, 12.3345899, 523
Hamadan, 34.973321, 48.6555779, 808, 34.8, 48.516667, 475, 34.973321, 48.655578, 639, 34.80349, 48.51095, 698, 34.973321, 48.6555779, 886
Dobrovody, 49.7196445, 25.6309256, 550, 48.766111, 30.389722, 584, 49.719644, 25.630926, 580, 49.7234, 25.63922, 308, 49.7196445, 25.6309256, 898
Antwerp, 51.2212016, 4.3996325, 575, 51.2194475, 4.4024643, 113, 51.221202, 4.399632, 776, 51.2221, 4.39768, 286, 51.2211097, 4.3997081, 936
Anyi, 40.50622765, 43.5743251618673, 639, 28.844507, 115.549248, 536, 5.2814, 8.1154, 118, 21.39839, 110.8627, 379, 40.5062175, 43.5743259005, 596
Nagoya, 35.183333, 136.9, 107, 35.1814464, 136.906398, 540, 35.183333, 136.9, 216, 33.50632, 129.91123, 298, 35.183333, 136.9, 193
Verdun, 49.1589278, 5.3867277, 977, 49.15894, 5.386757, 681, 49.158928, 5.386728, 750, 49.16483, 5.38318, 309, 49.1589278, 5.3867277, 164
Reggio di Calabria, 38.1104608, 15.6614235, 495, 38.1113006, 15.6472914, 469, 38.110461, 15.661424, 538, 38.11275, 15.65175, 318, 38.1104608, 15.6614235, 933
Kesh, 54.5233599, -7.7225138, 624, 54.52073, -7.7211, 968, 54.52336, -7.722514, 680, 29.24251, 76.81132, 352, 54.5233599, -7.7225138, 882
Ramavati, NA, NA, 506, NA, NA, 516, NA, NA, 449, 23.0744495, 73.6355515, 83, NA, NA, 741
Albany New York, 42.6511674, -73.754968, 209, 42.6525793, -73.7562317, 593, 42.651167, -73.754968, 69, 42.65156, -73.75521, 321, 42.6511674, -73.754968, 812
Bandar Seri Begawan, 4.8895453, 114.9417574, 517, 4.890278, 114.942222, 73, 4.889545, 114.941757, 599, 4.8919, 114.94044, 867, 4.8895453, 114.9417574, 143
Kathmandu-Patan Lalitpur, NA, NA, 466, 27.666667, 85.316667, 146, NA, NA, 549, NA, NA, 317, NA, NA, 211
Glasgow, 55.861147, -4.2499891, 598, 55.864237, -4.251806, 805, 55.861147, -4.249989, 859, 55.85782, -4.24253, 393, 55.861147, -4.2499891, 128
Veliky Novgorod, 58.5227078, 31.2776162, 496, 58.5255698, 31.2741928, 808, 58.522708, 31.277616, 647, 58.5232811, 31.2699108, 297, 58.5211425, 31.2752904, 783
Polonnaruwa, 7.939758, 81.0003199, 538, 7.9326358, 81.0036821, 471, 7.939758, 81.00032, 517, 7.94227, 81.00787, 289, 7.939758, 81.0003199, 978
